"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-01-01","69","74","66"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-01-02","69","73","65"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-01-03","70","75","65"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-01-04","67","73",
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-01-05","68","74","59"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-01-06","70","75","62"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-01-07","71","76","66"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-01-08","68","75",
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-01-09","72","81","61"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-01-10","72","80","65"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-01-11","71","79",
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-01-12","71","79","63"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-01-13","69","81",
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-01-14","62","72",
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-01-15","65","70","56"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-01-16","69","74","61"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-01-17","69","74","65"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-01-18","70","75","65"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-01-19","71","76","66"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-01-20","68","74",
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-01-21","68","76","64"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-01-22","68","73","64"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-01-23","70","75","65"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-01-24","66","72",
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-01-25","66","73","59"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-01-26","67","74","60"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-01-27","69","76","62"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-01-28","72","78","67"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-01-29","73","80",
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-01-30","73","83",
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-01-31","71","82",
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-02-01","71","81","62"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-02-02","71","77","64"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-02-03","69","79",
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-02-04","70","82","60"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-02-05","71","81","60"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-02-06","71","80","62"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-02-07","65","71",
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-02-08","67","74","60"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-02-09","68","78",
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-02-10","70","80","60"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-02-11","70","80","61"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-02-12","72","80","61"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-02-13","70","80",
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-02-14","71","81","62"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-02-15","70","81","62"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-02-19","68","76",
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-02-20","72","79","59"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-02-21","73","80","68"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-02-22","69","74","67"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-02-23","66","72",
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-02-24","63","73",
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-02-25","64","74","56"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-02-26","63","74",
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-02-27","67","73","53"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-02-28","65","73",
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-03-01","64","74",
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-03-02","65","77",
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-03-03","66","76","53"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-03-04","67","75","58"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-03-05","65","73",
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-03-06","67","76","56"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-03-07","71","79","57"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-03-08","61","74",
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-03-09","65","69","56"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-03-10","65","73",
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-03-11","68","76","57"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-03-12","69","77","62"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-03-13","69",,"62"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-03-14","69","78","61"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-03-15","70","79","62"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-03-16","70","79","62"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-03-17","71","81","64"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-03-18","68","77","64"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-03-19","65","70",
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-03-20","67","74",
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-03-21","68","77","58"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-03-22","67","77","60"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-03-23","67","77",
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-03-24","68","76","58"
"NZM00093110","AUCKLAND AERO AWS, NZ","2019-03-25","68","77","62"
